,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,ROOFTOP,"Érd, Budai út 22, 2030 Hungary",ChIJWcF4VP3jQUcRz0ELPtEsc0g,"Érd Budai út 22.,Hungary",47.3782662,18.9232788,1,2030,OK,street_address
1,GEOMETRIC_CENTER,"Szigetvár, Móra Ferenc ltp., 7900 Hungary",ChIJEzl57vf9Z0cRMrCXmo_3ljs,"Szigetvár Móra Ferenc lakótelep,Hungary",46.04439199999999,17.806083,1,7900,OK,route
2,GEOMETRIC_CENTER,"Kiskőrös, Korvin u., 6200 Hungary",ChIJcYXEJVeyQ0cRafu-xLWY1MI,"Kiskőrös Korvin utca,Hungary",46.6215224,19.2979018,1,6200,OK,route
3,ROOFTOP,"Baja, Bara u. 2, 6500 Hungary",ChIJt9rHOiQgQ0cR0Wh4uGGPqFI,"Baja Bara utca 2.,Hungary",46.1647949,18.9554914,1,6500,OK,street_address
4,GEOMETRIC_CENTER,"Balatonfüred, Tamáshegyi út, 8230 Hungary",ChIJwQMZhGy9aUcR0wYPtOHnyCM,"Balatonfüred Tamáshegy,Hungary",46.9684394,17.8869354,1,8230,OK,route
5,GEOMETRIC_CENTER,"Biharkeresztes, Kossuth u., 4110 Hungary",ChIJO2NldEFQRkcR1oA5lWVF6BE,"Biharkeresztes Kossuth utca,Hungary",47.1288864,21.7324387,1,4110,OK,route
6,ROOFTOP,"Budapest, Maglódi út 10, 1106 Hungary",ChIJJ_e9cEHDQUcRH7k76Ych6Ok,"10. kerület Maglódi út 10.,Hungary",47.4853916,19.1563387,1,1106,OK,street_address
7,GEOMETRIC_CENTER,"Budakeszi, Zichy Péter u., 2092 Hungary",ChIJn7ZLKmTfQUcRgfWxutwhyDs,"Budakeszi Zichy Péter utca,Hungary",47.51537,18.925525,1,2092,OK,route
8,GEOMETRIC_CENTER,"Budapest, Bor u., 1119 Hungary",ChIJ_5dJ6ZbdQUcRQ0KDgQztKRc,"11. kerület Bor utca,Hungary",47.4580944,19.032433,1,1119,OK,route
9,GEOMETRIC_CENTER,"Hajdúnánás, Mártírok útja, 4080 Hungary",ChIJb4kzIhRbR0cRqf6Bmfu7_Fo,"Hajdúnánás Mártírok útja,Hungary",47.8454731,21.4313221,1,4080,OK,route
10,GEOMETRIC_CENTER,"Kecskemét, Baross u., 6000 Hungary",ChIJcRwZoxjaQ0cRcq_q36z0Rwc,"Kecskemét Baross utca,Hungary",46.9129399,19.7028186,1,6000,OK,route
11,GEOMETRIC_CENTER,"Maglód, Fő u., 2234 Hungary",ChIJARkMDmi_QUcRLp8XT1UM-JY,"Maglód Fő utca,Hungary",47.4452253,19.3565345,1,2234,OK,route
12,ROOFTOP,"Budapest, Thomán István u. 4, 1124 Hungary",ChIJLW74o4_eQUcRdqZFs8SecpM,"12. kerület Thomán István utca 4.,Hungary",47.4952365,19.0018744,1,1124,OK,street_address
13,GEOMETRIC_CENTER,"Miskolc, Kőrösi Csoma Sándor u., 3527 Hungary",ChIJY7azawGgQEcRYQrL2TRLKOg,"Miskolc Kőrösi Csoma Sándor utca,Hungary",48.1033044,20.802736,1,3527,OK,route
14,GEOMETRIC_CENTER,"Debrecen, Kandia u., 4024 Hungary",ChIJ76gyTXEOR0cR7GyKmgyPaRw,"Debrecen Kandia utca,Hungary",47.5285485,21.6333566,1,4024,OK,route
15,ROOFTOP,"Hajdúdorog, Fehértói út 2, 4087 Hungary",ChIJy8ZCyNBcR0cRwduL8fg872U,"Hajdúdorog Fehértói út 2.,Hungary",47.816285,21.500675,1,4087,OK,street_address
16,GEOMETRIC_CENTER,"Miskolc, Berettyó u., 3528 Hungary",ChIJVWPDBxGgQEcRmzYAM88RsEQ,"Miskolc Berettyó utca,Hungary",48.0933714,20.8098879,1,3528,OK,route
17,ROOFTOP,"Petőfibánya, Dobó István u. 6, 3023 Hungary",ChIJQ75v8cROQEcRtwr9i8M_oSE,"Petőfibánya Dobó István utca 6/a,Hungary",47.760307,19.705053,1,3023,OK,street_address
18,ROOFTOP,"Budapest, Podmaniczky u. 27, 1067 Hungary",ChIJR_09tHLcQUcRobRIi-1eMx8,"6. kerület Podmaniczky utca 27.,Hungary",47.509028,19.05867,1,1067,OK,street_address
19,GEOMETRIC_CENTER,"Gyula, Árpád u., 5700 Hungary",ChIJpXZ-JZ_WRUcRa5C6o9fN3_k,"Gyula Árpád utca,Hungary",46.64801809999999,21.2741145,1,5700,OK,route
20,GEOMETRIC_CENTER,"Budapest, Lencse u., 1107 Hungary",ChIJMc9t8zLDQUcRNYcv6Pukmnc,"10. kerület Lencse utca,Hungary",47.477386,19.128794,1,1107,OK,route
21,ROOFTOP,"Celldömölk, Sági u. 13, 9500 Hungary",ChIJvchu3TZFaUcRPnQRBCzZqFA,"Celldömölk Sági utca 13 10/43,Hungary",47.2550809,17.153284,1,9500,OK,street_address
22,ROOFTOP,"Budapest, Kossuth Lajos u. 14-16, 1053 Hungary",ChIJOaENl0PcQUcRAf3jFeN76IM,"5. kerület Kossuth Lajos utca 14-16,Hungary",47.493941,19.0579354,1,1053,OK,street_address
