,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
87,APPROXIMATE,"Mosonmagyaróvár, 9200 Hungary",ChIJDduuNBaIa0cRkBceDCnEAAQ,"Mosonmagyaróvár Győr-Moson-Sopron megye,Hungary",47.8681469,17.2689169,1,9200,OK,"locality,political"
88,GEOMETRIC_CENTER,"Edelény, Borsodi út, 3780 Hungary",ChIJlR0QOJZvP0cRGE9kCOS-a4Y,"Edelény Borsodi út,Hungary",48.3043558,20.7469808,1,3780,OK,route
89,ROOFTOP,"Szeged, Párizsi krt. 29, 6724 Hungary",ChIJgwVEzgqIREcRWfBqlk1Fw98,"Szeged Párizsi körút 29.,Hungary",46.258343,20.1425443,1,6724,OK,street_address
90,ROOFTOP,"Budapest, Centenáriumi stny. 24, 1165 Hungary",ChIJ_QYBTZXEQUcRca8o34DCwxU,"16. kerület Újmátyásföld – Centenáriumi lakótelep,Hungary",47.5167936,19.183676,1,1165,OK,"doctor,establishment,health,point_of_interest"
91,GEOMETRIC_CENTER,"Hévíz, Vajda Ákos u., 8380 Hungary",ChIJSQS3guYdaUcRGGxTvZhZcQo,"Hévíz Vajda Ákos utca,Hungary",46.79208089999999,17.1824547,1,8380,OK,route
92,GEOMETRIC_CENTER,"Debrecen, Wesselényi u., 4024 Hungary",ChIJy_BZJHAOR0cRRvB0_534rPs,"Debrecen Wesselényi utca,Hungary",47.5239657,21.6330002,1,4024,OK,route
93,GEOMETRIC_CENTER,"Budapest, Bihari János u., Hungary",ChIJ6VQNjw3cQUcRLn2jcsFxsDY,"5. kerület Bihari János utca,Hungary",47.5089489,19.0536699,1,,OK,route
94,GEOMETRIC_CENTER,"Pécs, Aidinger János út, 7632 Hungary",ChIJJblrd8azQkcRA2lxNvfRspA,"Pécs Aidinger János út,Hungary",46.04086299999999,18.227098,1,7632,OK,route
95,GEOMETRIC_CENTER,"Debrecen, Erzsébet u., 4025 Hungary",ChIJY1BwWmwOR0cRYTITPblerBg,"Debrecen Erzsébet utca,Hungary",47.5216129,21.623101,1,4025,OK,route
96,APPROXIMATE,"Miskolc, Hungary",ChIJ5-tyjYeeQEcRsBEeDCnEAAQ,"Miskolc Gálffy Ignác utca,Hungary",48.1034775,20.7784384,1,,OK,"locality,political"
97,GEOMETRIC_CENTER,"Tatabánya, Bánhidai ltp., 2800 Hungary",ChIJ-wc2CsNAakcRQi2RF0Df9r4,"Tatabánya Bánhidai lakótelep,Hungary",47.57737460000001,18.3910743,1,2800,OK,route
98,GEOMETRIC_CENTER,"Budapest, Klauzál u., 1046 Hungary",ChIJMycjEjnaQUcRulauXn2ndGI,"4. kerület Klauzál utca,Hungary",47.5659419,19.0920703,1,1046,OK,route
99,GEOMETRIC_CENTER,"Szeged, Vedres u., 6726 Hungary",ChIJD1S3cWiIREcR7nrPksR-7mY,"Szeged Vedres utca,Hungary",46.2457983,20.1575637,1,6726,OK,route
100,APPROXIMATE,"Pécs, Uránváros, 7633 Hungary",ChIJMWl3LfWxQkcRwTBLb1JRohY,"Pécs Uránváros,Hungary",46.0627189,18.1967619,1,7633,OK,"political,sublocality,sublocality_level_1"
101,APPROXIMATE,"Hévíz, Lake Hévíz, 8380 Hungary",ChIJAQcnve0daUcRV-LXS4yJIQo,"Hévíz Sunshine Residence Hévíz,Hungary",46.7876678,17.1930817,1,8380,OK,"establishment,natural_feature"
102,GEOMETRIC_CENTER,"Budapest, Tahi u., Hungary",EhpCdWRhcGVzdCwgVGFoaSBTdCwgSHVuZ2FyeSJIKkYKFAoSCWNwt8--20FHES8OqRab18rkEhQKEgnxbWQPwttBRxFyXhbmxvMRgBoYCgoN0ShVHBWYE14LEgoNHIhWHBXHBGIL,"13. kerület Tahi utca,Hungary",47.5385524,19.0846437,1,,OK,route
103,GEOMETRIC_CENTER,"Pécs, Nagy Lajos király útja, Hungary",ChIJyeZQE56xQkcRQpiHoj2zgmY,"Pécs Nagy Lajos király útja,Hungary",46.071155,18.22877,1,,OK,route
104,APPROXIMATE,"Balatonfüred, Hungary",ChIJ_-rTPhK9aUcRoBseDCnEAAQ,"Balatonfüred Belváros,Hungary",46.9599039,17.8851202,2,,OK,"locality,political"
105,GEOMETRIC_CENTER,"Nyíregyháza, Kert u., 4400 Hungary",ChIJPbtkW8ifOEcR7MyTEOTu6i8,"Nyíregyháza Kert utca,Hungary",47.9474081,21.7261264,1,4400,OK,route
106,APPROXIMATE,"Budapest, Kelenvölgy, Hungary",ChIJLzR-vI7dQUcRMtWXQXy-LJA,"11. kerület Kelenvölgy,Hungary",47.449382,19.0225258,1,,OK,"neighborhood,political"
107,APPROXIMATE,"Győr, Adyváros, 9023 Hungary",ChIJ35mrq4i_a0cRKB12rr8tOTM,"Győr Adyváros,Hungary",47.6736179,17.6554539,1,9023,OK,"political,sublocality,sublocality_level_1"
108,APPROXIMATE,"Pécel, 2119 Hungary",ChIJWRelDpq4QUcRMBweDCnEAAQ,"Pécel Városközpont,Hungary",47.4908971,19.337941,1,2119,OK,"locality,political"
109,ROOFTOP,"Budapest, Fischer István u. 146, 1141 Hungary",ChIJFSSzNULbQUcRiRhlKoVdPd8,"14. kerület Fischer István utca 146 B,Hungary",47.5201902,19.1289204,1,1141,OK,street_address
110,RANGE_INTERPOLATED,"Biatorbágy, Ohmüllner Márton stny. 45, 2051 Hungary",EjZCaWF0b3Jiw6FneSwgT2htw7xsbG5lciBNw6FydG9uIHN0bnkuIDQ1LCAyMDUxIEh1bmdhcnkiGhIYChQKEgndBQ6HNAtqRxGQWwJpSDycIBAt,"Biatorbágy Ohmüllner Márton sétány 45.,Hungary",47.4775444,18.80594,1,2051,OK,street_address
111,APPROXIMATE,"Nyíregyháza, Jósaváros, 4413 Hungary",ChIJ8VwHu3WfOEcRw0F9ut9dfoc,"Nyíregyháza Jósaváros,Hungary",47.9683199,21.721895,1,4413,OK,"political,sublocality,sublocality_level_1"
112,ROOFTOP,"Mosonmagyaróvár, Károly út 38, 9200 Hungary",ChIJAbjUbR-Ia0cRPn6j2I6Lh_I,"Mosonmagyaróvár Károly út 38.,Hungary",47.8713434,17.2768348,1,9200,OK,street_address
113,GEOMETRIC_CENTER,"Szeged, Párizsi krt., Hungary",ChIJX0N-GQuIREcR1FO8rZb3yow,"Szeged Párizsi körút,Hungary",46.259267,20.144468,1,,OK,route
114,GEOMETRIC_CENTER,"Nyíregyháza, Ferenc krt., 4400 Hungary",ChIJTU7skpifOEcRg0D7ov0zGfk,"Nyíregyháza Ferenc körút,Hungary",47.96516820000001,21.7198702,1,4400,OK,route
115,GEOMETRIC_CENTER,"Pécs, Hargita u., 7623 Hungary",ChIJl30vTpexQkcRrKj0L3nevqI,"Pécs Hargita utca,Hungary",46.0729098,18.2168409,1,7623,OK,route
116,APPROXIMATE,"Budapest, District VIII., Hungary",ChIJ8y3R0_PcQUcRsNUeDCnEAAU,"8. kerület Corvin sétány 2.,Hungary",47.4887489,19.084543,1,,OK,"political,sublocality,sublocality_level_1"
117,APPROXIMATE,"Sopron, Hungary",ChIJDRZIUGA7bEcRoBIeDCnEAAQ,"Sopron Belváros külső,Hungary",47.68166189999999,16.5844795,1,,OK,"locality,political"
118,APPROXIMATE,"Budapest, Kaszásdűlő, Hungary",ChIJWaOHpHXZQUcRTxF5cU_xu4Y,"3. kerület Kaszásdűlő,Hungary",47.55991580000001,19.0379086,1,,OK,"neighborhood,political"
119,GEOMETRIC_CENTER,"Budapest, Mészáros u., Hungary",ChIJzZWBiS_cQUcRwHGfGIx1NLI,"1. kerület Mészáros utca,Hungary",47.4925074,19.0301498,1,,OK,route
120,ROOFTOP,"Siófok, Széchenyi u. 14, 8600 Hungary",ChIJfZYTWpDAaUcRbrKPlxYOzR8,"Siófok Belváros,Hungary",46.90618,18.0571,1,8600,OK,"establishment,lodging,point_of_interest"
121,APPROXIMATE,"Mohács, Hungary",ChIJc57VYbPWQkcR1xVj8sYBtJc,"Mohács Baranya megye,Hungary",46.0046295,18.6794304,1,,OK,"locality,political"
122,APPROXIMATE,"Budapest, Kurucles, 1021 Hungary",ChIJ5XOw5ijfQUcRnnI7chUXXbo,"2. kerület Kurucles,Hungary",47.5246541,18.9764312,1,1021,OK,"neighborhood,political"
123,GEOMETRIC_CENTER,"Siófok, Deák Ferenc stny., 8600 Hungary",ChIJvYUhYV2_aUcRAZpTmz7CleY,"Siófok Deák Ferenc sétány,Hungary",46.90359489999999,18.0260559,1,8600,OK,route
