Address,Settlement
8. kerület Baross utca 135.,8. kerület
Miskolc Vörösmarty Mihály utca 5.,Miskolc
Győr Kandó utca,Győr
2. kerület Járóka utca,2. kerület
Balassagyarmat Jókai utca,Balassagyarmat
Sárvár Vas megye,Sárvár
Mezőtúr Jász-Nagykun-Szolnok megye,Mezőtúr
Pécs Semmelweis utca 9.,Pécs
Csurgó Semmelweis utca,Csurgó
12. kerület Vércse utca,12. kerület
Szolnok Puskás Tivadar körút 13.,Szolnok
14. kerület Dózsa György út 13.,14. kerület
11. kerület Kelenliget Ház,11. kerület
Nyíregyháza Szabadság tér 5.,Nyíregyháza
4. kerület Járműtelep utca,4. kerület
19. kerület Csengő utca,19. kerület
Paks Babits Mihály utca 10.,Paks
Meződ Ságvári utca 41.,Meződ
22. kerület Terv utca 17/c,22. kerület
5. kerület Sütő utca,5. kerület
22. kerület Budafok – Rózsavölgy,22. kerület
11. kerület Ménesi út 9.,11. kerület
12. kerület Határőr út 27.,12. kerület
11. kerület Bertalan Lajos utca,11. kerület
2. kerület Bem József tér 9.,2. kerület
11. kerület Irinyi József utca 32.,11. kerület
Hévíz Rákóczi utca 1.,Hévíz
Salgótarján Forgách Antal út 61.,Salgótarján
4. kerület Gyertyaláng utca,4. kerület
Szombathely Széll Kálmán utca,Szombathely
Szeged Nyitra utca,Szeged
Dabas Bartók Béla út,Dabas
2. kerület Hűvösvölgyi út 10D,2. kerület
Komárom Csillag lakótelep 8.,Komárom
Körmend Belváros,Körmend
Pápa Mező utca 5-7,Pápa
7. kerület Jósika utca 3.,7. kerület
Zalaegerszeg Göcseji Pataki Ferenc utca,Zalaegerszeg
Győr József Attila utca,Győr
Debrecen Derék utca 191.,Debrecen
13. kerület Hajdú utca 46.,13. kerület
18. kerület Havanna utca 29.,18. kerület
Sümeg Dr. Lukonich Gábor utca 28.,Sümeg
Miskolc Árpád út 56.,Miskolc
Ózd Árpád vezér út 25.,Ózd
Nagykáta Központ,Nagykáta
Pécel Vasúton túli terület,Pécel
11. kerület Vak Bottyán utca,11. kerület
6. kerület Vörösmarty utca 44/a,6. kerület
Balatonszemes Bagolyvár utca 20.,Balatonszemes
8. kerület Déri Miksa utca 15.,8. kerület
Pécs Aradi vértanúk útja 46.,Pécs
Orosháza Kölcsey Ferenc utca 1.,Orosháza
Kővágószőlős Újtelep 6.,Kővágószőlős
Solymár Kút utca,Solymár
Zalaegerszeg Landorhegyi út 26.,Zalaegerszeg
Debrecen Nagyerdei körút,Debrecen
Kazincbarcika Csokonai utca 36.,Kazincbarcika
Hévíz Zrínyi utca,Hévíz
3. kerület Virág Benedek utca,3. kerület
Majosháza Zrínyi utca,Majosháza
11. kerület Etele út 36.,11. kerület
Balkány Kúria tér 5.,Balkány
Szolnok Tószegi út 45.,Szolnok
Dunakeszi Pejachevich Albert utca,Dunakeszi
2. kerület Szpáhi utca 7-9,2. kerület
Szombathely Malom utca,Szombathely
Pécs Nagy Imre út 120.,Pécs
2. kerület Dutka Ákos utca,2. kerület
13. kerület Béke tér 6.,13. kerület
Fót Arany János utca,Fót
Ajka Móricz Zsigmond utca 26.,Ajka
Nyíregyháza Kodály Zoltán utca 34.,Nyíregyháza
Sajóbábony Borsod-Abaúj-Zemplén megye,Sajóbábony
22. kerület Hollandi utca,22. kerület
Pécs Katalin utca,Pécs
11. kerület Kelenföldi út 53.,11. kerület
Békéscsaba Pásztor utca 148 4 emelet,Békéscsaba
11. kerület Előpatak utca 9.,11. kerület
Gyomaendrőd Vásártéri lakótelep 2.,Gyomaendrőd
Gödöllő Blaha,Göd
Kaba Batthyány utca,Kaba
Eger Tetemvár utca,Eger
Taksony Alkotmány utca,Taksony
Gyula Gyulavári,Gyula
Orosháza Deák Ferenc utca,Orosháza
Kecskemét Reile Géza utca,Kecskemét
Kazincbarcika Ifjúmunkás tér,Kazincbarcika
13. kerület Reitter Ferenc utca 18-20,13. kerület
10. kerület Kápolna utca 1.,10. kerület
Dunakeszi Felsőtabán,Dunakeszi
Kiskőrös Liget utca,Kiskőrös
Pomáz Vörösmarty-lakókert,Pomáz
Pécs Kisszkókó dűlő 26.,Pécs
Kozármisleny Misleny,Kozármisleny
5. kerület Bástya utca,5. kerület
14. kerület Zászlós utca 48.,14. kerület
Gödöllő Semmelweis utca,Göd
Ózd Bibó István utca 5/A,Ózd
11. kerület Bakony utca,11. kerület
17. kerület Zrínyi utca,17. kerület
Detk Rákóczi Ferenc utca,Detk
13. kerület Dévai utca 12.,13. kerület
Miskolc Gózon Lajos utca,Miskolc
Nagykanizsa Kazanlak körút,Nagykanizsa
11. kerület Gárdonyi tér,11. kerület
Dömsöd Pest megye,Dömsöd
Szeged Sóhordó utca,Szeged
Kazincbarcika Alsóvárosi körút,Kazincbarcika
Szeged Deák Ferenc utca 24.,Szeged
Debrecen Hajó utca 12.,Debrecen
9. kerület Hentes utca,9. kerület
Pécs Krisztina tér 12.,Pécs
Nagytarcsa Petőfitelep 4.,Nagytarcsa
Szeged Bartók tér,Szeged
Gyöngyös Hattyú tér,Gyöngyös
6. kerület Káldy Gyula utca 3.,6. kerület
Fácánkert Jókai utca,Fácánkert
