,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,ROOFTOP,"Nagyrécse, Deák Ferenc u. 28, 8756 Hungary",ChIJEVK_PybtaEcRTbim0OVZ5Cg,"Nagyrécse Deák Ferenc utca 28.,Hungary",46.49116009999999,17.0481443,1,8756,OK,street_address
1,ROOFTOP,"Sellye, Ifjúság út 7, 7960 Hungary",ChIJmROUTxhYXUcRvDXcRfcF5wM,"Sellye Ifjúság út 7.,Hungary",45.87368499999999,17.847627,1,7960,OK,street_address
2,GEOMETRIC_CENTER,"Encs, Fő út, 3860 Hungary",ChIJeScK99ZAP0cRXOhbGuFFxZg,"Encs Fő út,Hungary",48.3450381,21.0980486,1,3860,OK,route
3,ROOFTOP,"Dunaújváros, Gábor Áron u. 17, 2400 Hungary",ChIJw2OFTGQXQkcRl8wNBqy9dOI,"Dunaújváros Gábor Áron utca 17.,Hungary",46.96632719999999,18.9286302,1,2400,OK,street_address
4,GEOMETRIC_CENTER,"Sátoraljaújhely, Illyés Gyula u., 3980 Hungary",ChIJM60PVIPOOEcRCsuiaXcKKtc,"Sátoraljaújhely Illyés Gyula utca,Hungary",48.3902052,21.6580932,1,3980,OK,route
5,ROOFTOP,"Budapest, Teréz krt. 35, 1067 Hungary",ChIJAdHufm3cQUcRofhhp2JB3AE,"6. kerület Teréz körút 35.,Hungary",47.5074419,19.0606211,1,1067,OK,street_address
6,ROOFTOP,"Budapest, Klauzál tér 2, 1072 Hungary",ChIJbZUDVGjcQUcRvNxmnItfaSY,"7. kerület Klauzál tér 2.,Hungary",47.4993331,19.063148,1,1072,OK,street_address
7,ROOFTOP,"Budapest, Bajnok u. 16, 1063 Hungary",ChIJefAB-3PcQUcRh4SWualOeXA,"6. kerület Bajnok utca 16.,Hungary",47.5112259,19.0665541,1,1063,OK,street_address
8,ROOFTOP,"Nyíregyháza, Körte u. 22, 4400 Hungary",ChIJnSizopefOEcRfh6bn69ZOd4,"Nyíregyháza Körte utca 22.,Hungary",47.9605316,21.7153966,1,4400,OK,street_address
9,ROOFTOP,"Szeged, Kereszttöltés u. 33, 6723 Hungary",ChIJiSDkZBmIREcRelYB4T4-GNw,"Szeged Kereszttöltés utca 33.,Hungary",46.266361,20.168471,1,6723,OK,street_address
10,ROOFTOP,"Budapest, Ibrahim u. 12, 1113 Hungary",ChIJ_VcMb8ndQUcR3t3Uc5Yldmc,"11. kerület Ibrahim utca 12.,Hungary",47.476457,19.030816,1,1113,OK,street_address
11,ROOFTOP,"Sátoraljaújhely, Kazinczy u. 31, 3980 Hungary",ChIJLbVWPCvMOEcRPltqpvrynnk,"Sátoraljaújhely Kazinczy utca 31.,Hungary",48.3997267,21.6536574,1,3980,OK,street_address
12,ROOFTOP,"Kecskemét, Arany János u. 10, 6000 Hungary",ChIJ6YSg3RDaQ0cRrghN-1k7ezA,"Kecskemét Arany János utca 10.,Hungary",46.9091211,19.6912688,1,6000,OK,street_address
13,ROOFTOP,"Szeged, Gutenberg u. 24, 6722 Hungary",ChIJMV4eMHSIREcRiDx7YnrfHhY,"Szeged Gutenberg utca 24.,Hungary",46.2538406,20.1411575,1,6722,OK,street_address
14,GEOMETRIC_CENTER,"Nyíregyháza, István u., 4400 Hungary",ChIJe_SRS7ufOEcR35ZxKhiTq4c,"Nyíregyháza István utca,Hungary",47.9593473,21.7268496,1,4400,OK,route
15,GEOMETRIC_CENTER,"Csopak, Örkény István stny., 8229 Hungary",ChIJaVIZ9ZG9aUcR-ZTThJr92QA,"Csopak Örkény István sétány,Hungary",46.9671794,17.9303632,1,8229,OK,route
16,ROOFTOP,"Miskolc, Feszty Árpád u. 1, 3525 Hungary",ChIJw0IrduGfQEcRPE5zwElSG9Q,"Miskolc Feszty Árpád utca 1/b,Hungary",48.1096825,20.7770127,1,3525,OK,street_address
17,GEOMETRIC_CENTER,"Oroszlány, József Attila u., 2840 Hungary",ChIJ3QpE7FU5akcR8ZqkkbWfw9I,"Oroszlány József Attila utca,Hungary",47.4843268,18.2992187,1,2840,OK,route
18,GEOMETRIC_CENTER,"Gyömrő, Pátria utca, 2230 Hungary",ChIJ8eaCKGa-QUcRxQBqSm5scrs,"Gyömrő Pátria utca 8.,Hungary",47.406212,19.408808,1,2230,OK,route
