,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
1746,APPROXIMATE,"Budapest, Pösingermajor, Hungary",ChIJsUbjMGreQUcRrw0pQ-WP9Do,"11. kerület Pösingermajor,Hungary",47.4749297,18.9772774,1,,OK,"neighborhood,political"
1747,APPROXIMATE,"Réde, 2886 Hungary",ChIJm1ERit4sakcR8DoeDCnEAAQ,"Réde Kinizsi utca 4.,Hungary",47.429874,17.9161858,1,2886,OK,"locality,political"
1748,ROOFTOP,"Budapest, Belgrád rkp. 13,15, 1056 Hungary",ChIJfa3_hUXcQUcRqBtaa0Ru4Fs,"5. kerület Belgrád rakpart 13-15,Hungary",47.48870489999999,19.0544092,1,1056,OK,street_address
1749,GEOMETRIC_CENTER,"Budapest, Anonymus u., 1045 Hungary",ChIJa1P0GkvaQUcRQekWwgEd3vo,"4. kerület Anonymus utca,Hungary",47.55450949999999,19.0944553,1,1045,OK,route
1750,APPROXIMATE,"Szolnok, Hungary",ChIJxb42OxJBQUcR0BEeDCnEAAQ,"Szolnok Déli városrész,Hungary",47.16213550000001,20.1824712,1,,OK,"locality,political"
1751,ROOFTOP,"Babosdöbréte, Kossuth Lajos u. 5, 8983 Hungary",ChIJf40dYE_WaEcRI27hJ65Rqfo,"Babosdöbréte Kossuth Lajos utca 5.,Hungary",46.812526,16.7784941,1,8983,OK,street_address
1752,GEOMETRIC_CENTER,"Paks, Táncsics Mihály u., 7030 Hungary",,"Paks Táncsics Mihály utca,Hungary",46.6205376,18.8575763,1,7030,OK,route
1753,GEOMETRIC_CENTER,"Budapest, Százház u., 1076 Hungary",,"7. kerület Százház utca,Hungary",47.5028689,19.0880127,1,1076,OK,route
1754,APPROXIMATE,"Nagykanizsa, Hungary",ChIJ6VsHHAaTaEcRsBIeDCnEAAQ,"Nagykanizsa Belváros,Hungary",46.4590218,16.9896796,1,,OK,"locality,political"
1755,GEOMETRIC_CENTER,"Budapest, Benedek Elek u., Hungary",ChIJGXr47vfCQUcRBLw82z8969M,"18. kerület Benedek Elek utca,Hungary",47.448265,19.163687,1,,OK,route
1756,ROOFTOP,"Szigetszentmiklós, Iskola u. 9/A, 2310 Hungary",ChIJt1z_JFzvQUcRLtZqTlxmXk8,"Szigetszentmiklós Iskola utca 9/a,Hungary",47.3428513,19.0393094,1,2310,OK,street_address
1757,GEOMETRIC_CENTER,"Budapest, Barkó u., 1201 Hungary",ChIJGfnfogLoQUcRAVZKXxUTUFU,"20. kerület Barkó utca,Hungary",47.428335,19.1044261,1,1201,OK,route
1758,GEOMETRIC_CENTER,"Debrecen, Vörösmarty utca, 4025 Hungary",ChIJ1WVFsW0OR0cRFAdr0UrKVuY,"Debrecen Vörösmarty utca,Hungary",47.5230207,21.6246775,1,4025,OK,route
1759,GEOMETRIC_CENTER,"Budapest, Lechner Ödön fasor, 1095 Hungary",ChIJ9ZgkIQLdQUcRsiFv98hPB_o,"9. kerület Lechner Ödön fasor,Hungary",47.4738029,19.0706304,1,1095,OK,route
1760,APPROXIMATE,"Nagykanizsa, Hungary",ChIJ6VsHHAaTaEcRsBIeDCnEAAQ,"Nagykanizsa Északi városrész,Hungary",46.4590218,16.9896796,1,,OK,"locality,political"
1761,GEOMETRIC_CENTER,"Budapest, Cirmos stny., 1213 Hungary",ChIJTU7aZdjnQUcRFIQ19gDfzM8,"21. kerület Cirmos sétány,Hungary",47.4057987,19.0736264,1,1213,OK,route
1762,GEOMETRIC_CENTER,"Budapest, Régi posta utca, 1052 Hungary",ChIJ_cre10DcQUcRehrblB3Hig0,"5. kerület Régi posta utca,Hungary",47.49429689999999,19.0517427,1,1052,OK,route
1763,GEOMETRIC_CENTER,"Szeged, Stefánia, 6720 Hungary",ChIJqWOeFG2IREcRypRnhEfE7ZM,"Szeged Stefánia,Hungary",46.2544178,20.1533635,1,6720,OK,route
1764,GEOMETRIC_CENTER,"Budapest, Arany János u., 1191 Hungary",,"19. kerület Arany János utca,Hungary",47.457332,19.1397337,1,1191,OK,route
1765,ROOFTOP,"Tiszafüred, Váci Mihály u. 8, 5350 Hungary",ChIJz-TleNbRQEcR3VMULXfmX3Q,"Tiszafüred Váci Mihály utca 8.,Hungary",47.620653,20.746073,1,5350,OK,street_address
1766,GEOMETRIC_CENTER,"Szeged, Olajos u., 6723 Hungary",ChIJUa2096diREcRKP6MILKl430,"Szeged Olajos utca,Hungary",46.27348840000001,20.16685,1,6723,OK,route
1767,APPROXIMATE,"Balatonkenese, 8174 Hungary",ChIJH_mm3RWTaUcR6-Ke1lCUli0,"Balatonkenese Veszprém megye,Hungary",47.0285715,18.1277871,1,8174,OK,"locality,political"
1768,APPROXIMATE,"Dunakeszi, Alag, 2120 Hungary",ChIJW9gobxjRQUcRK1u0PxM-k40,"Dunakeszi Alag,Hungary",47.6337439,19.1463769,1,2120,OK,"political,sublocality,sublocality_level_1"
1769,ROOFTOP,"Sopron, Templom u. 21, 9400 Hungary",ChIJdej7oKY8bEcRyPw2163ssII,"Sopron Templom utca 21.,Hungary",47.684109,16.589658,1,9400,OK,street_address
1770,ROOFTOP,"Budapest, Dugonics u. 6, 1089 Hungary",ChIJT2Vu1O_cQUcRbBoXHhQWHIY,"8. kerület Dugonics utca 6.,Hungary",47.4851564,19.0866382,1,1089,OK,street_address
1771,GEOMETRIC_CENTER,"Szeged, Tisza Lajos krt., Hungary",ChIJOe4rCW6IREcRFM6AkU08PR0,"Szeged Tisza Lajos körút,Hungary",46.25184429999999,20.1449233,1,,OK,route
1772,ROOFTOP,"Pécs, Jókai u. 42, 7623 Hungary",ChIJveiyup2xQkcR8sQseAu6rY8,"Pécs Jókai utca 42.,Hungary",46.0688699,18.226557,1,7623,OK,street_address
1773,ROOFTOP,"Pécs, Megyeri tér 8, 7623 Hungary",ChIJD2ewJpGxQkcRwFFPTVohUHw,"Pécs Megyeri tér 8.,Hungary",46.072011,18.213248,1,7623,OK,street_address
1774,GEOMETRIC_CENTER,"Érd, Fenyves köz, 2030 Hungary",,"Érd Fenyves-Parkváros,Hungary",47.4117545,18.8961296,1,2030,OK,route
1775,GEOMETRIC_CENTER,"Budapest, Vörösmarty u., Hungary",ChIJdYls2HHcQUcRA0Q5Eoyna2E,"16. kerület Vörösmarty utca,Hungary",47.5067292,19.0666082,1,,OK,route
1776,GEOMETRIC_CENTER,"Szeged, Árvíz u., 6724 Hungary",ChIJQUeOMOKHREcR8unnlamE38Y,"Szeged Árvíz utca,Hungary",46.263617,20.141891,1,6724,OK,route
1777,APPROXIMATE,"Győr, Hungary",ChIJNaB-QIe_a0cR4BEeDCnEAAQ,"Győr Pacsirta Ház,Hungary",47.6874569,17.6503974,1,,OK,"locality,political"
