,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
51,GEOMETRIC_CENTER,"Budapest, Marina stny., 1138 Hungary",ChIJj0WAltDbQUcRdSXsDypBzwc,"13. kerület Marina Garden,Hungary",47.54768019999999,19.0644731,1,1138,OK,route
52,,,,"13. kerület Pannónia Ház,Hungary",,,0,,ZERO_RESULTS,
53,ROOFTOP,"Budapest, Lőportár u. 1, 1134 Hungary",ChIJKbYiX4rbQUcRa_oREjiEnHA,"13. kerület Westfalia Building,Hungary",47.5180076,19.0684091,1,1134,OK,"establishment,point_of_interest"
54,,,,"14. kerület Thermal Zugló 3,Hungary",,,0,,ZERO_RESULTS,
55,ROOFTOP,"Budapest, Máriássy u. 2-4, 1095 Hungary",ChIJW3sQnhzdQUcRZ5TJtZj_014,"9. kerület Máriássy utca 4.,Hungary",47.4692272,19.0774089,1,1095,OK,street_address
56,APPROXIMATE,"Budapest, Angyalföld, Hungary",ChIJmYuMfb_bQUcRlM64rPJ47Qw,"13. kerület Angyalföld,Hungary",47.5297474,19.0800943,1,,OK,"neighborhood,political"
57,GEOMETRIC_CENTER,"Budapest, Tüzér u., 1134 Hungary",ChIJ-_DWx4zbQUcRmYMOxDXlGIc,"13. kerület Tüzér utca,Hungary",47.5229349,19.068496,1,1134,OK,route
58,,,,"13. kerület Pannónia Ház,Hungary",,,0,,ZERO_RESULTS,
59,APPROXIMATE,"Budapest, Víziváros, Hungary",ChIJKxFtYxjcQUcRGW9Kt-tVbM0,"1. kerület Víziváros,Hungary",47.50504309999999,19.038844,1,,OK,"neighborhood,political"
60,GEOMETRIC_CENTER,"Budapest, Kartács u., 1139 Hungary",,"13. kerület Kartács Park,Hungary",47.5285029,19.0763412,1,1139,OK,route
61,,,,"11. kerület Savoya Ház,Hungary",,,0,,ZERO_RESULTS,
62,,,,"11. kerület Tetris Ház 1.ütem,Hungary",,,0,,ZERO_RESULTS,
63,,,,"13. kerület Smart 13,Hungary",,,0,,ZERO_RESULTS,
64,,,,"1. kerület Sun Hill Residence,Hungary",,,0,,ZERO_RESULTS,
65,,,,"13. kerület Unipark46,Hungary",,,0,,ZERO_RESULTS,
66,GEOMETRIC_CENTER,"Budapest, Hárshegyi út, 1021 Hungary",ChIJMVkcBjDfQUcRuyFn-1RpUgY,"2. kerület Hárshegyi út,Hungary",47.5249468,18.9661076,1,1021,OK,route
67,,,,"1. kerület Sun Hill Residence,Hungary",,,0,,ZERO_RESULTS,
68,,,,"11. kerület Sasad Resort Hill by Cordia,Hungary",,,0,,ZERO_RESULTS,
69,GEOMETRIC_CENTER,"Budapest, Budaörsi út, Hungary",,"11. kerület Budaörsi út,Hungary",47.4651562,19.0124861,1,,OK,route
70,,,,"13. kerület Smart 13,Hungary",,,0,,ZERO_RESULTS,
71,,,,"1. kerület Sun Hill Residence,Hungary",,,0,,ZERO_RESULTS,
72,GEOMETRIC_CENTER,"Budapest, Thököly út, Hungary",EiZCdWRhcGVzdCwgVGjDtmvDtmx5IMO6dCwgTWFneWFyb3JzesOhZw,"7. kerület Thököly út,Hungary",47.5031171,19.0872405,1,,OK,route
73,ROOFTOP,"Budapest, Máriássy u. 2-4, 1095 Hungary",ChIJW3sQnhzdQUcRZ5TJtZj_014,"9. kerület Máriássy utca 4.,Hungary",47.4692272,19.0774089,1,1095,OK,street_address
74,APPROXIMATE,"Budapest, Sasad, Hungary",ChIJpay1eNjdQUcR6hVOASMBxgY,"11. kerület Sasad,Hungary",47.4735156,19.0077598,1,,OK,"neighborhood,political"
75,GEOMETRIC_CENTER,"Budapest, Ráday u., 1092 Hungary",ChIJ6fnYNlfcQUcRckNi1xfMlSA,"9. kerület Ráday utca,Hungary",47.4852056,19.0647222,1,1092,OK,route
76,,,,"11. kerület Elite Park,Hungary",,,0,,ZERO_RESULTS,
77,,,,"14. kerület Thermal Zugló 3,Hungary",,,0,,ZERO_RESULTS,
78,GEOMETRIC_CENTER,"Budapest, Szent István krt., Hungary",,"5. kerület Szent István körút,Hungary",47.5119019,19.0513176,1,,OK,route
79,APPROXIMATE,"Budapest, Herminamező, Hungary",ChIJEeKG4HjbQUcRCaQO8SFowcU,"14. kerület Herminamező,Hungary",47.5189291,19.0985653,1,,OK,"neighborhood,political"
80,,,,"13. kerület Pannónia Ház,Hungary",,,0,,ZERO_RESULTS,
81,ROOFTOP,"Budapest, Ferenc tér 2, 1094 Hungary",ChIJ96CSJPncQUcRIzOvbqaV9hA,"13. kerület Pesti Ház - Átrium 2,Hungary",47.4809902,19.0729166,1,1094,OK,"establishment,point_of_interest"
82,GEOMETRIC_CENTER,"Budapest, Angyalföldi út, 1134 Hungary",ChIJba9IZfLbQUcRrF3g11CiOe8,"13. kerület Angyalföldi út,Hungary",47.5264588,19.0660891,1,1134,OK,route
83,,,,"13. kerület Green Court Residences,Hungary",,,0,,ZERO_RESULTS,
84,ROOFTOP,"Budapest, Ferenc tér 2, 1094 Hungary",ChIJ96CSJPncQUcRIzOvbqaV9hA,"13. kerület Pesti Ház - Átrium 2,Hungary",47.4809902,19.0729166,1,1094,OK,"establishment,point_of_interest"
85,,,,"11. kerület Savoya Ház,Hungary",,,0,,ZERO_RESULTS,
86,ROOFTOP,"Budapest, Bíbor u. 10, 1149 Hungary",ChIJVa_HiqHcQUcRHVxIpGj2I_Y,"14. kerület Bíbor utca 10-12,Hungary",47.50336249999999,19.1156432,1,1149,OK,street_address
87,ROOFTOP,"Budapest, Füredi u. 15b, 1144 Hungary",ChIJ8cMMelPbQUcRTsLBNeoUm_Q,"14. kerület Alsórákos – Füredi utcai lakótelep,Hungary",47.5090988,19.1442886,1,1144,OK,"establishment,point_of_interest"
88,,,,"11. kerület Elite Park,Hungary",,,0,,ZERO_RESULTS,
89,ROOFTOP,"Budapest, Izabella u. 61, 1064 Hungary",ChIJCeCtlnHcQUcROfQcJXU7k-w,"13. kerület Kassák Residence,Hungary",47.508167,19.066685,1,1064,OK,"establishment,lodging,point_of_interest"
90,,,,"6. kerület Vörösmarty West,Hungary",,,0,,ZERO_RESULTS,
91,GEOMETRIC_CENTER,"Budapest, Kartács u., 1139 Hungary",,"13. kerület Kartács Park,Hungary",47.5285029,19.0763412,1,1139,OK,route
92,,,,"9. kerület Középső-Ferencváros,Hungary",,,0,,ZERO_RESULTS,
93,,,,"13. kerület Smart 13,Hungary",,,0,,ZERO_RESULTS,
94,ROOFTOP,"Budapest, Ferenc tér 2, 1094 Hungary",ChIJ96CSJPncQUcRIzOvbqaV9hA,"13. kerület Pesti Ház - Átrium 2,Hungary",47.4809902,19.0729166,1,1094,OK,"establishment,point_of_interest"
95,ROOFTOP,"Budapest, Ferenc tér 2, 1094 Hungary",ChIJ96CSJPncQUcRIzOvbqaV9hA,"13. kerület Pesti Ház - Átrium 2,Hungary",47.4809902,19.0729166,1,1094,OK,"establishment,point_of_interest"
96,ROOFTOP,"Budapest, Ferenc tér 2, 1094 Hungary",ChIJ96CSJPncQUcRIzOvbqaV9hA,"13. kerület Pesti Ház - Átrium 2,Hungary",47.4809902,19.0729166,1,1094,OK,"establishment,point_of_interest"
97,,,,"13. kerület Green Court Residences,Hungary",,,0,,ZERO_RESULTS,
98,,,,"13. kerület Green Court Residences,Hungary",,,0,,ZERO_RESULTS,
99,GEOMETRIC_CENTER,"Budapest, Arany János u., 1051 Hungary",ChIJ3ao9_xTcQUcRWU87o5ZSL7w,"5. kerület Arany János utca,Hungary",47.502095,19.049841,1,1051,OK,route
100,,,,"13. kerület Corner 21,Hungary",,,0,,ZERO_RESULTS,
