,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,APPROXIMATE,"Budapest, District IV., Hungary",ChIJEdZO0xbaQUcRcNUeDCnEAAU,"4. kerület Megyer – Nagyváradi liget lakópark,Hungary",47.5777559,19.095212,1,,OK,"political,sublocality,sublocality_level_1"
1,GEOMETRIC_CENTER,"Budapest, Jéggyár u., 1131 Hungary",ChIJT-UXYLnbQUcRGOaNy4s-GCM,"13. kerület Jéggyár utca,Hungary",47.5400785,19.0872054,1,1131,OK,route
2,GEOMETRIC_CENTER,"Miskolc, 3530 Hungary",ChIJYwTW2vafQEcRwOpRiA9pAxY,"Miskolc Népkert,Hungary",48.0968885,20.7858187,2,3530,OK,"bus_station,establishment,point_of_interest,transit_station"
3,ROOFTOP,"Budapest, Peterdy u. 35, 1071 Hungary",ChIJIax0O3zcQUcRVd2bd13hOTU,"7. kerület Peterdy utca 35.,Hungary",47.508214,19.082419,1,1071,OK,street_address
4,GEOMETRIC_CENTER,"Budapest, Gyermek tér, 1131 Hungary",ChIJYcTPgrfbQUcR19os2krAajI,"13. kerület Gyermek tér,Hungary",47.5440478,19.0864253,1,1131,OK,route
5,GEOMETRIC_CENTER,"Budapest, Szederkény u., 1141 Hungary",ChIJGc8w8TfbQUcRFBVOASYwpPM,"14. kerület Szederkény utca,Hungary",47.5247883,19.1435974,1,1141,OK,route
6,APPROXIMATE,"Gyöngyös, Hungary",ChIJHyM-gg9aQEcRlO10p64IsPE,"Gyöngyös Heves megye,Hungary",47.7772651,19.9294927,1,,OK,"locality,political"
7,GEOMETRIC_CENTER,"Nagykanizsa, Kazanlak krt., 8800 Hungary",ChIJVSGFMhqTaEcRbqe0VLJ9FRM,"Nagykanizsa Kazanlak körút,Hungary",46.45950209999999,17.0134212,1,8800,OK,route
8,GEOMETRIC_CENTER,"Debrecen, Mester u., 4026 Hungary",ChIJx99K_ggOR0cR44evqe2EC9s,"Debrecen Mester utca,Hungary",47.5342085,21.6169834,1,4026,OK,route
9,GEOMETRIC_CENTER,"Budapest, Bajcsy-Zsilinszky út, Hungary",Ei5CdWRhcGVzdCwgQmFqY3N5LVpzaWxpbnN6a3kgw7p0LCBNYWd5YXJvcnN6w6Fn,"21. kerület Bajcsy-Zsilinszky út,Hungary",47.5047603,19.0550047,2,,OK,route
10,GEOMETRIC_CENTER,"Debrecen, Karácsony György u., 4029 Hungary",ChIJGeNAkNcNR0cRxo--KNtqFd8,"Debrecen Karácsony György utca,Hungary",47.5334509,21.6442568,1,4029,OK,route
11,APPROXIMATE,"Nyíregyháza, Jósaváros, 4413 Hungary",ChIJ8VwHu3WfOEcRw0F9ut9dfoc,"Nyíregyháza Jósaváros,Hungary",47.9683199,21.721895,1,4413,OK,"political,sublocality,sublocality_level_1"
12,GEOMETRIC_CENTER,"Budapest, Normafa út, 1121 Hungary",ChIJL-LVbfDeQUcR2Hhgg6MBwkQ,"12. kerület Normafa út,Hungary",47.5014022,18.9793849,1,1121,OK,route
13,GEOMETRIC_CENTER,"Budapest, Szlatina u., 1144 Hungary",ChIJcxmeNanEQUcRZeq0KxlCob0,"14. kerület Szlatina utca,Hungary",47.5065676,19.1549749,1,1144,OK,route
